Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
2020-05-29,1210.0,25.0,100.0,1884.0,877.0,978.0,1164.0,5351.0,128.0,827.0,200.0,,726.0,123.0,82.0,791.0,78.0,440.0,307.0,380.0,3313.0,93.0,5449.0,1912.0,202.0,3589.0,30945.0,7.0,0.0017841160589613496,1.0321332572503675e-05,0.0,0.001548467017652524,0.0,1.0,0.0018104790527573595,1.8104790527573596e-05,1.0,0.0018203303068570606,9.662050461024737e-07,0.0,0.003043743839629059,0.0,2.0,0.00502141030775392,1.0268732735693088e-05,1.0,0.0036521771870705396,3.1376092672427318e-06,4.0,0.010804665935721222,8.076745233205922e-06,0.0,0.003168081578100636,0.0,0.0,0.0041687880269584985,0.0,0.0,0.0027240904942862202,0.0,,0.0017482304050474048,,1.0,0.004079476748106358,5.619113978107932e-06,0.0,0.0028457071466580293,0.0,0.0,0.0021669617610528265,0.0,0.0,0.0015580159031863493,0.0,0.0,0.0009513239257967338,0.0,0.0,0.0016105770990578125,0.0,0.0,0.0019288160085445922,0.0,0.0,0.0013744610665817876,0.0,3.0,0.009376158576793654,8.49033375501991e-06,0.0,0.0025526308566409576,0.0,3.0,0.0068185373117519345,3.754012100432337e-06,0.0,0.005558866712215261,0.0,0.0,0.0015925952206375111,0.0,6.0,0.002359681466013749,3.944856170544022e-06,29.0,0.003622938133165367,3.3952239735594006e-06
2020-05-30,1210.0,,,1909.0,878.0,978.0,1164.0,5356.0,,827.0,200.0,,726.0,124.0,82.0,791.0,,,307.0,382.0,3313.0,93.0,5450.0,1912.0,202.0,3595.0,30986.0,0.0,0.0017841160589613496,0.0,,0.001548467017652524,,,0.0018104790527573595,,25.0,0.0018444854330096224,2.4155126152561845e-05,1.0,0.0030472144711451697,3.4706315161106715e-06,0.0,0.00502141030775392,0.0,0.0,0.0036521771870705396,0.0,5.0,0.010814761867262731,1.0095931541507403e-05,,0.003168081578100636,,0.0,0.0041687880269584985,0.0,0.0,0.0027240904942862202,0.0,,0.0017482304050474048,,0.0,0.004079476748106358,0.0,1.0,0.0028688429771186637,2.3135830460634384e-05,0.0,0.0021669617610528265,0.0,0.0,0.0015580159031863493,0.0,,0.0009513239257967338,,,0.0016105770990578125,,0.0,0.0019288160085445922,0.0,2.0,0.001381695072195376,7.234005613588356e-06,0.0,0.009376158576793654,0.0,0.0,0.0025526308566409576,0.0,1.0,0.006819788649118746,1.251337366810779e-06,0.0,0.005558866712215261,0.0,0.0,0.0015925952206375111,0.0,6.0,0.0023636263221842933,3.944856170544022e-06,41.0,0.003627738277403848,4.800144238480532e-06
2020-05-31,1213.0,,,1910.0,879.0,978.0,1164.0,5356.0,,827.0,200.0,,726.0,124.0,82.0,791.0,,,307.0,382.0,3315.0,93.0,5451.0,1914.0,202.0,3595.0,30996.0,3.0,0.0017885394872067084,4.423428245358718e-06,,0.001548467017652524,,,0.0018104790527573595,,1.0,0.001845451638055725,9.662050461024737e-07,1.0,0.00305068510266128,3.4706315161106715e-06,0.0,0.00502141030775392,0.0,0.0,0.0036521771870705396,0.0,0.0,0.010814761867262731,0.0,,0.003168081578100636,,0.0,0.0041687880269584985,0.0,0.0,0.0027240904942862202,0.0,,0.0017482304050474048,,0.0,0.004079476748106358,0.0,0.0,0.0028688429771186637,0.0,0.0,0.0021669617610528265,0.0,0.0,0.0015580159031863493,0.0,,0.0009513239257967338,,,0.0016105770990578125,,0.0,0.0019288160085445922,0.0,0.0,0.001381695072195376,0.0,2.0,0.009381818799297,5.660222503346606e-06,0.0,0.0025526308566409576,0.0,1.0,0.0068210399864855565,1.251337366810779e-06,2.0,0.005564681426349377,5.814714134116382e-06,0.0,0.0015925952206375111,0.0,0.0,0.0023636263221842933,0.0,10.0,0.003628909044291282,1.170766887434276e-06
2020-06-01,1213.0,,,1910.0,880.0,978.0,1164.0,5357.0,,827.0,200.0,,726.0,124.0,82.0,791.0,,,307.0,382.0,3315.0,93.0,5451.0,1915.0,202.0,3595.0,30999.0,0.0,0.0017885394872067084,0.0,,0.001548467017652524,,,0.0018104790527573595,,0.0,0.001845451638055725,0.0,1.0,0.003054155734177391,3.4706315161106715e-06,0.0,0.00502141030775392,0.0,0.0,0.0036521771870705396,0.0,1.0,0.010816781053571032,2.0191863083014806e-06,,0.003168081578100636,,0.0,0.0041687880269584985,0.0,0.0,0.0027240904942862202,0.0,,0.0017482304050474048,,0.0,0.004079476748106358,0.0,0.0,0.0028688429771186637,0.0,0.0,0.0021669617610528265,0.0,0.0,0.0015580159031863493,0.0,,0.0009513239257967338,,,0.0016105770990578125,,0.0,0.0019288160085445922,0.0,0.0,0.001381695072195376,0.0,0.0,0.009381818799297,0.0,0.0,0.0025526308566409576,0.0,0.0,0.0068210399864855565,0.0,1.0,0.005567588783416435,2.907357067058191e-06,0.0,0.0015925952206375111,0.0,0.0,0.0023636263221842933,0.0,3.0,0.0036292602743575124,3.512300662302828e-07
2020-06-02,1213.0,,100.0,1911.0,880.0,978.0,1166.0,5360.0,128.0,827.0,200.0,,727.0,124.0,82.0,791.0,78.0,443.0,307.0,382.0,3315.0,93.0,5455.0,1916.0,202.0,3597.0,31016.0,0.0,0.0017885394872067084,0.0,,0.001548467017652524,,0.0,0.0018104790527573595,0.0,1.0,0.0018464178431018274,9.662050461024737e-07,0.0,0.003054155734177391,0.0,0.0,0.00502141030775392,0.0,2.0,0.0036584524056050252,6.2752185344854636e-06,3.0,0.010822838612495937,6.057558924904442e-06,0.0,0.003168081578100636,0.0,0.0,0.0041687880269584985,0.0,0.0,0.0027240904942862202,0.0,,0.0017482304050474048,,1.0,0.004085095862084467,5.619113978107932e-06,0.0,0.0028688429771186637,0.0,0.0,0.0021669617610528265,0.0,0.0,0.0015580159031863493,0.0,0.0,0.0009513239257967338,0.0,3.0,0.0016215583065513884,1.0981207493575993e-05,0.0,0.0019288160085445922,0.0,0.0,0.001381695072195376,0.0,0.0,0.009381818799297,0.0,0.0,0.0025526308566409576,0.0,4.0,0.0068260453359528,5.005349467243116e-06,1.0,0.005570496140483493,2.907357067058191e-06,0.0,0.0015925952206375111,0.0,2.0,0.0023649412742411413,1.3149520568480073e-06,17.0,0.003631250578066151,1.9903037086382695e-06
2020-06-03,1214.0,25.0,100.0,1912.0,881.0,979.0,1167.0,5362.0,128.0,828.0,200.0,,730.0,124.0,82.0,791.0,78.0,445.0,307.0,382.0,3315.0,,5457.0,1916.0,202.0,3600.0,31034.0,1.0,0.0017900139632884946,1.4744760817862393e-06,0.0,0.001548467017652524,0.0,0.0,0.0018104790527573595,0.0,1.0,0.00184738404814793,9.662050461024737e-07,1.0,0.0030576263656935014,3.4706315161106715e-06,1.0,0.005026544674121767,5.134366367846544e-06,1.0,0.003661590014872268,3.1376092672427318e-06,2.0,0.01082687698511254,4.038372616602961e-06,0.0,0.003168081578100636,0.0,1.0,0.004173828883097505,5.040856139006649e-06,0.0,0.0027240904942862202,0.0,,0.0017482304050474048,,3.0,0.00410195320401879,1.6857341934323796e-05,0.0,0.0028688429771186637,0.0,0.0,0.0021669617610528265,0.0,0.0,0.0015580159031863493,0.0,0.0,0.0009513239257967338,0.0,2.0,0.0016288791115471057,7.320804995717329e-06,0.0,0.0019288160085445922,0.0,0.0,0.001381695072195376,0.0,0.0,0.009381818799297,0.0,,0.0025526308566409576,,2.0,0.006828548010686421,2.502674733621558e-06,0.0,0.005570496140483493,0.0,0.0,0.0015925952206375111,0.0,3.0,0.002366913702326413,1.972428085272011e-06,18.0,0.0036333579584635323,2.107380397381697e-06
2020-06-04,1216.0,,100.0,1914.0,881.0,979.0,1169.0,5364.0,128.0,828.0,200.0,,731.0,124.0,82.0,791.0,78.0,446.0,307.0,382.0,3316.0,,5460.0,1918.0,202.0,3608.0,31058.0,2.0,0.001792962915452067,2.9489521635724785e-06,,0.001548467017652524,,0.0,0.0018104790527573595,0.0,2.0,0.0018493164582401348,1.9324100922049473e-06,0.0,0.0030576263656935014,0.0,0.0,0.005026544674121767,0.0,2.0,0.0036678652334067533,6.2752185344854636e-06,2.0,0.010830915357729143,4.038372616602961e-06,0.0,0.003168081578100636,0.0,0.0,0.004173828883097505,0.0,0.0,0.0027240904942862202,0.0,,0.0017482304050474048,,1.0,0.004107572317996898,5.619113978107932e-06,0.0,0.0028688429771186637,0.0,0.0,0.0021669617610528265,0.0,0.0,0.0015580159031863493,0.0,0.0,0.0009513239257967338,0.0,1.0,0.0016325395140449645,3.6604024978586646e-06,0.0,0.0019288160085445922,0.0,0.0,0.001381695072195376,0.0,1.0,0.009384648910548674,2.830111251673303e-06,,0.0025526308566409576,,3.0,0.006832302022786853,3.754012100432337e-06,2.0,0.0055763108546176094,5.814714134116382e-06,0.0,0.0015925952206375111,0.0,8.0,0.0023721735105538054,5.259808227392029e-06,24.0,0.0036361677989933745,2.8098405298422626e-06
2020-06-05,1216.0,25.0,100.0,1916.0,882.0,982.0,1171.0,5366.0,128.0,828.0,200.0,,732.0,124.0,82.0,792.0,78.0,446.0,307.0,382.0,3316.0,,5462.0,1920.0,202.0,3614.0,31080.0,0.0,0.001792962915452067,0.0,0.0,0.001548467017652524,0.0,0.0,0.0018104790527573595,0.0,2.0,0.0018512488683323398,1.9324100922049473e-06,1.0,0.0030610969972096123,3.4706315161106715e-06,3.0,0.0050419477732253064,1.5403099103539633e-05,2.0,0.003674140451941239,6.2752185344854636e-06,2.0,0.010834953730345745,4.038372616602961e-06,0.0,0.003168081578100636,0.0,0.0,0.004173828883097505,0.0,0.0,0.0027240904942862202,0.0,,0.0017482304050474048,,1.0,0.0041131914319750065,5.619113978107932e-06,0.0,0.0028688429771186637,0.0,0.0,0.0021669617610528265,0.0,1.0,0.0015599855819514396,1.9696787650902013e-06,0.0,0.0009513239257967338,0.0,0.0,0.0016325395140449645,0.0,0.0,0.0019288160085445922,0.0,0.0,0.001381695072195376,0.0,0.0,0.009384648910548674,0.0,,0.0025526308566409576,,2.0,0.006834804697520475,2.502674733621558e-06,2.0,0.0055821255687517266,5.814714134116382e-06,0.0,0.0015925952206375111,0.0,6.0,0.0023761183667243492,3.944856170544022e-06,22.0,0.00363874348614573,2.5756871523554076e-06
2020-06-06,1218.0,,,1918.0,882.0,982.0,1171.0,5369.0,,828.0,200.0,717.0,733.0,124.0,82.0,792.0,,,307.0,382.0,3316.0,,5464.0,1921.0,202.0,3618.0,31096.0,2.0,0.0017959118676156396,2.9489521635724785e-06,,0.001548467017652524,,,0.0018104790527573595,,2.0,0.0018531812784245447,1.9324100922049473e-06,0.0,0.0030610969972096123,0.0,0.0,0.0050419477732253064,0.0,0.0,0.003674140451941239,0.0,3.0,0.01084101128927065,6.057558924904442e-06,,0.003168081578100636,,0.0,0.004173828883097505,0.0,0.0,0.0027240904942862202,0.0,1.0,0.0017506720676242868,2.4416625768818503e-06,1.0,0.004118810545953114,5.619113978107932e-06,0.0,0.0028688429771186637,0.0,0.0,0.0021669617610528265,0.0,0.0,0.0015599855819514396,0.0,,0.0009513239257967338,,,0.0016325395140449645,,0.0,0.0019288160085445922,0.0,0.0,0.001381695072195376,0.0,0.0,0.009384648910548674,0.0,,0.0025526308566409576,,2.0,0.006837307372254096,2.502674733621558e-06,1.0,0.005585032925818785,2.907357067058191e-06,0.0,0.0015925952206375111,0.0,4.0,0.002378748270838045,2.6299041136960146e-06,16.0,0.003640616713165625,1.8732270198948418e-06
2020-06-07,1218.0,,,1918.0,882.0,982.0,1173.0,5369.0,,828.0,200.0,,733.0,124.0,82.0,793.0,,,307.0,382.0,3316.0,,5466.0,1923.0,202.0,3618.0,31103.0,0.0,0.0017959118676156396,0.0,,0.001548467017652524,,,0.0018104790527573595,,0.0,0.0018531812784245447,0.0,0.0,0.0030610969972096123,0.0,0.0,0.0050419477732253064,0.0,2.0,0.0036804156704757242,6.2752185344854636e-06,0.0,0.01084101128927065,0.0,,0.003168081578100636,,0.0,0.004173828883097505,0.0,0.0,0.0027240904942862202,0.0,,0.0017506720676242868,,0.0,0.004118810545953114,0.0,0.0,0.0028688429771186637,0.0,0.0,0.0021669617610528265,0.0,1.0,0.0015619552607165298,1.9696787650902013e-06,,0.0009513239257967338,,,0.0016325395140449645,,0.0,0.0019288160085445922,0.0,0.0,0.001381695072195376,0.0,0.0,0.009384648910548674,0.0,,0.0025526308566409576,,2.0,0.006839810046987718,2.502674733621558e-06,2.0,0.005590847639952901,5.814714134116382e-06,0.0,0.0015925952206375111,0.0,0.0,0.002378748270838045,0.0,7.0,0.003641436249986829,8.195368212039933e-07
