Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
2021-07-27,47330.0,1217.0,,64706.0,17744.0,12314.0,31638.0,53213.0,2776.0,13093.0,-199.0,28893.0,16938.0,2660.0,2555.0,42743.0,4807.0,17766.0,12320.0,18811.0,30438.0,3185.0,,36713.0,8549.0,111906.0,665837.0,50.0,0.06978695295094271,7.372380408931197e-05,4.0,0.07537937441932487,0.00024775472282440383,,0.05009595538979614,,45.0,0.06251926371310666,4.347922707461132e-05,19.0,0.061582885621867756,6.594199880610276e-05,29.0,0.06322458745366234,0.0001488966246675498,17.0,0.09926768199702554,5.333935754312644e-05,89.0,0.10744696102364669,0.00017970758143883177,4.0,0.06870776922505754,9.900254931564488e-05,24.0,0.06599992942801405,0.00012098054733615957,0.0,-0.002710470041814789,0.0,34.0,0.0705469568338473,8.301652761398292e-05,15.0,0.09517655256119215,8.428670967161898e-05,4.0,0.06154130902528746,9.254332184253754e-05,2.0,0.0675193573108533,5.285272587933723e-05,46.0,0.08418997945625048,9.060522319414927e-05,11.0,0.05862838604237051,0.00013416106645851373,21.0,0.06503071077695703,7.686845245503196e-05,2.0,0.07740395187384161,1.2565576602896366e-05,15.0,0.06803943979860529,5.425504210191267e-05,31.0,0.08614292627843201,8.77334488018724e-05,3.0,0.08742074492904785,8.234293085938573e-05,,0.1013007651927998,,23.0,0.10673780000290736,6.686921254233838e-05,12.0,0.0674014680258915,9.460961706757492e-05,217.0,0.07357551243681655,0.0001426722981680088,717.0,0.0779539912028576,8.394398582903759e-05
2021-07-28,47366.0,1220.0,,64768.0,17775.0,12337.0,31666.0,53346.0,2778.0,13111.0,-199.0,28923.0,16954.0,2664.0,2560.0,42773.0,4812.0,17785.0,12334.0,18824.0,30466.0,3186.0,,36734.0,8565.0,112058.0,666527.0,36.0,0.06984003408988701,5.308113894430462e-05,3.0,0.07556519046144317,0.00018581604211830288,,0.05009595538979614,,62.0,0.06257916842596502,5.9904712858353375e-05,31.0,0.06169047519886719,0.00010758957699943082,23.0,0.06334267788012281,0.00011809042646047051,28.0,0.09935553505650835,8.785305948279648e-05,133.0,0.10771551280265079,0.0002685517790040969,2.0,0.06875727049971536,4.950127465782244e-05,18.0,0.06609066483851618,9.073541050211967e-05,0.0,-0.002710470041814789,0.0,30.0,0.07062020671115377,7.324987730645551e-05,16.0,0.09526645838484188,8.990582364972691e-05,4.0,0.06163385234713,9.254332184253754e-05,5.0,0.06765148912555165,0.00013213181469834306,30.0,0.08424906981920319,5.909036295270604e-05,5.0,0.05868936834530619,6.098230293568806e-05,19.0,0.06510025842441634,6.954764745931463e-05,14.0,0.07749191091006188,8.795903622027456e-05,13.0,0.0680864608350936,4.7021036488324314e-05,28.0,0.08622216939347886,7.92431150468525e-05,1.0,0.08744819257266763,2.744764361979524e-05,,0.1013007651927998,,21.0,0.10679885450131558,6.1054498408222e-05,16.0,0.0675276141819816,0.00012614615609009988,152.0,0.073675448793137,9.993635632044856e-05,690.0,0.07803477411809057,8.078291523296504e-05
2021-07-29,47415.0,1220.0,,64835.0,17804.0,12364.0,31685.0,53460.0,2788.0,13125.0,-199.0,28950.0,16980.0,2667.0,2565.0,42799.0,4816.0,17795.0,12343.0,18842.0,30508.0,3188.0,,36756.0,8577.0,112187.0,667191.0,49.0,0.06991228341789453,7.224932800752573e-05,0.0,0.07556519046144317,0.0,,0.05009595538979614,,67.0,0.06264390416405388,6.473573808886574e-05,29.0,0.061791123512834396,0.00010064831396720948,27.0,0.06348130577205467,0.0001386278919318567,19.0,0.09941514963258595,5.9614576077611906e-05,114.0,0.10794570004179715,0.0002301872391463688,10.0,0.06900477687300448,0.00024750637328911217,14.0,0.06616123682446226,7.057198594609308e-05,0.0,-0.002710470041814789,0.0,27.0,0.07068613160072956,6.592488957580996e-05,26.0,0.09541255534827268,0.00014609696343080624,3.0,0.0617032598385119,6.940749138190315e-05,5.0,0.06778362094024999,0.00013213181469834306,26.0,0.08430028146709553,5.121164789234524e-05,4.0,0.05873815418765474,4.878584234855045e-05,10.0,0.06513686244939494,3.660402497858665e-05,9.0,0.07754845600477492,5.654509471303364e-05,18.0,0.0681515668856159,6.51060505222952e-05,42.0,0.08634103406604914,0.00011886467257027873,2.0,0.08750308785990722,5.489528723959048e-05,,0.1013007651927998,,22.0,0.10686281635679086,6.39618554752802e-05,12.0,0.06762222379904917,9.460961706757492e-05,129.0,0.0737602632008037,8.481440766669647e-05,664.0,0.07811251303941621,7.773892132563593e-05
2021-07-30,47479.0,1221.0,,64908.0,17840.0,12452.0,31698.0,53572.0,2796.0,13137.0,-199.0,28984.0,16997.0,2670.0,2565.0,42830.0,4818.0,17809.0,12358.0,18865.0,30537.0,3191.0,,36775.0,8587.0,112352.0,667963.0,64.0,0.07000664988712886,9.436646923431931e-05,1.0,0.07562712914214927,6.193868070610096e-05,,0.05009595538979614,,73.0,0.06271443713241937,7.053296836548058e-05,36.0,0.06191606624741438,0.00012494273457998417,88.0,0.06393313001242516,0.0004518242403704959,13.0,0.0994559385530601,4.078892047415551e-05,112.0,0.10817184890832693,0.00022614886652976585,8.0,0.06920278197163576,0.00019800509863128975,12.0,0.06622172709813035,6.049027366807979e-05,0.0,-0.002710470041814789,0.0,34.0,0.07076914812834355,8.301652761398292e-05,17.0,0.09550808028590052,9.552493762783485e-05,3.0,0.0617726673298938,6.940749138190315e-05,0.0,0.06778362094024999,0.0,31.0,0.08436134150881333,6.106004171779624e-05,2.0,0.05876254710882902,2.4392921174275225e-05,14.0,0.06518810808436495,5.12456349700213e-05,15.0,0.07764269782929664,9.424182452172274e-05,23.0,0.06823475795017217,8.319106455626609e-05,29.0,0.08642310729234766,8.20732262985258e-05,3.0,0.08758543079076661,8.234293085938573e-05,,0.1013007651927998,,19.0,0.10691805614106496,5.5239784274105624e-05,10.0,0.06770106514660548,7.884134755631244e-05,165.0,0.07386874674549367,0.0001084835446899606,772.0,0.07820289624312614,9.038320370992612e-05
2021-07-31,47515.0,,,64963.0,17866.0,12474.0,31715.0,53670.0,,13151.0,-199.0,29019.0,17005.0,2673.0,,42847.0,4821.0,,12374.0,18877.0,,,,36791.0,8592.0,112479.0,668473.0,36.0,0.07005973102607316,5.308113894430462e-05,,0.07562712914214927,,,0.05009595538979614,,55.0,0.062767578409955,5.314127753563606e-05,26.0,0.062006302666833255,9.023641941887746e-05,22.0,0.06404608607251779,0.00011295606009262397,17.0,0.09950927791060324,5.333935754312644e-05,98.0,0.10836972916654047,0.0001978802582135451,,0.06920278197163576,,14.0,0.06629229908407644,7.057198594609308e-05,0.0,-0.002710470041814789,0.0,35.0,0.07085460631853442,8.545819019086476e-05,8.0,0.09555303319772539,4.495291182486346e-05,3.0,0.06184207482127571,6.940749138190315e-05,,0.06778362094024999,,17.0,0.08439482604781987,3.3484539006533424e-05,3.0,0.05879913649059043,3.658938176141284e-05,,0.06518810808436495,,16.0,0.07774322244211981,0.00010052461282317093,12.0,0.0682781619838537,4.340403368153014e-05,,0.08642310729234766,,,0.08758543079076661,,,0.1013007651927998,,16.0,0.10696457385413789,4.6517713072931054e-05,5.0,0.06774048582038364,3.942067377815622e-05,127.0,0.07395224620110351,8.349945560984847e-05,510.0,0.07826260535438528,5.970911125914808e-05
2021-08-01,47565.0,,,65012.0,17893.0,12494.0,31741.0,53721.0,,13169.0,-199.0,29034.0,17009.0,2673.0,,42860.0,4831.0,,12383.0,18892.0,,,81510.0,36796.0,8598.0,112524.0,669392.0,50.0,0.07013345483016248,7.372380408931197e-05,,0.07562712914214927,,,0.05009595538979614,,49.0,0.06281492245721403,4.734404725902121e-05,27.0,0.062100009717768245,9.370705093498814e-05,20.0,0.06414877339987472,0.00010268732735693088,26.0,0.09959085575155155,8.157784094831102e-05,51.0,0.10847270766826385,0.00010297850172337551,,0.06920278197163576,,18.0,0.06638303449457857,9.073541050211967e-05,0.0,-0.002710470041814789,0.0,15.0,0.07089123125718765,3.6624938653227756e-05,4.0,0.09557550965363781,2.247645591243173e-05,0.0,0.06184207482127571,0.0,,0.06778362094024999,,13.0,0.08442043187176604,2.560582394617262e-05,10.0,0.05892110109646181,0.00012196460587137613,,0.06518810808436495,,9.0,0.07779976753683285,5.654509471303364e-05,15.0,0.06833241702595562,5.425504210191267e-05,,0.08642310729234766,,,0.08758543079076661,,556.0,0.1019965087687466,0.0006957435759467932,5.0,0.10697911063947318,1.4536785335290953e-05,6.0,0.06778779062891743,4.730480853378746e-05,45.0,0.07398183262238259,2.9586421279080164e-05,919.0,0.0783701988313405,0.00010759347695520997
2021-08-02,47650.0,,,65130.0,17945.0,12520.0,31761.0,53864.0,2811.0,13178.0,-199.0,29108.0,17022.0,2680.0,2580.0,42932.0,4837.0,17880.0,12395.0,18909.0,30617.0,3193.0,,36829.0,8600.0,112626.0,670366.0,85.0,0.07025878529711431,0.00012533046695183033,,0.07562712914214927,,,0.05009595538979614,,118.0,0.06292893465265412,0.0001140121954400919,52.0,0.062280482556606,0.00018047283883775492,26.0,0.06428226692543873,0.00013349352556401014,20.0,0.0996536079368964,6.275218534485463e-05,143.0,0.10876145131035095,0.0002887436420871117,15.0,0.06957404153156944,0.0003712595599336683,9.0,0.06642840219982962,4.536770525105984e-05,0.0,-0.002710470041814789,0.0,74.0,0.0710719142878769,0.00018068303068925694,13.0,0.09564855813535322,7.304848171540312e-05,7.0,0.06200402563450015,0.0001619508132244407,15.0,0.06818001638434502,0.0003963954440950292,72.0,0.08456224874285252,0.0001418168710864945,6.0,0.058994279859984636,7.317876352282568e-05,71.0,0.06544799666171293,0.0002598885773479652,12.0,0.07787516099645023,7.539345961737819e-05,17.0,0.06839390607367112,6.148904771550103e-05,80.0,0.08664951619248153,0.00022640890013386427,2.0,0.0876403260780062,5.489528723959048e-05,,0.1019965087687466,,33.0,0.10707505342268611,9.59427832129203e-05,2.0,0.06780355889842869,1.5768269511262485e-05,102.0,0.07404889517728183,6.706255489924838e-05,974.0,0.07848423152617659,0.00011403269483609848
2021-08-03,47755.0,1224.0,,65238.0,17985.0,12566.0,31794.0,53982.0,2818.0,13202.0,-199.0,29147.0,17046.0,2685.0,2586.0,42976.0,4849.0,17902.0,12417.0,18945.0,30645.0,3193.0,,36860.0,8616.0,112804.0,671313.0,105.0,0.07041360528570186,0.00015481998858755513,3.0,0.07581294518426758,0.00018581604211830288,,0.05009595538979614,,108.0,0.06303328479763319,0.00010435014497906717,40.0,0.06241930781725043,0.00013882526064442686,46.0,0.06451844777835967,0.00023618085292094102,33.0,0.09975714904271542,0.00010354110581901015,118.0,0.10899971529473053,0.0002382639843795747,7.0,0.06974729599287181,0.00017325446130237853,24.0,0.06654938274716578,0.00012098054733615957,0.0,-0.002710470041814789,0.0,39.0,0.07116713912837529,9.522484049839217e-05,24.0,0.09578341687082781,0.00013485873547459037,5.0,0.06211970478680332,0.00011567915230317192,6.0,0.06833857456198303,0.0001585581776380117,44.0,0.08464891460851649,8.666586566396886e-05,12.0,0.059140637387030286,0.00014635752704565135,22.0,0.06552852551666581,8.052885495289061e-05,22.0,0.07801338233908209,0.00013822134263186,36.0,0.06852411817471571,0.0001302121010445904,28.0,0.08672875930752838,7.92431150468525e-05,0.0,0.0876403260780062,0.0,,0.1019965087687466,,31.0,0.1071651814917649,9.012806907880392e-05,16.0,0.06792970505451879,0.00012614615609009988,178.0,0.07416592591034131,0.00011703073305947266,947.0,0.07859510315041662,0.00011087162424002594
2021-08-04,47818.0,1224.0,,65354.0,18019.0,12622.0,31826.0,54089.0,2828.0,13229.0,-199.0,29202.0,17061.0,2688.0,2589.0,43035.0,4855.0,17938.0,12429.0,19002.0,30665.0,,,36886.0,8626.0,112976.0,672232.0,63.0,0.07050649727885439,9.289199315253307e-05,0.0,0.07581294518426758,0.0,,0.05009595538979614,,116.0,0.06314536458298108,0.00011207978534788696,34.0,0.06253730928879819,0.00011800147154776283,56.0,0.06480597229495907,0.0002875245165994065,32.0,0.09985755253926717,0.00010040349655176742,107.0,0.10921576822971879,0.00021605293498825844,10.0,0.06999480236616093,0.00024750637328911217,27.0,0.06668548586291896,0.00013610311575317952,0.0,-0.002710470041814789,0.0,55.0,0.0713014305701038,0.00013429144172850176,15.0,0.09586770358049942,8.428670967161898e-05,3.0,0.06218911227818522,6.940749138190315e-05,3.0,0.06841785365080204,7.927908881900585e-05,59.0,0.08476512565565682,0.00011621104714032188,6.0,0.05921381615055311,7.317876352282568e-05,36.0,0.06566030000658872,0.00013177448992291192,12.0,0.07808877579869947,7.539345961737819e-05,57.0,0.06873028733470297,0.00020616915998726814,20.0,0.08678536153256185,5.660222503346607e-05,,0.0876403260780062,,,0.1019965087687466,,26.0,0.10724077277550842,7.559128374351295e-05,10.0,0.0680085464020751,7.884134755631244e-05,172.0,0.07427901178723023,0.00011308587688892864,919.0,0.07870269662737182,0.00010759347695520997
2021-08-05,47902.0,1224.0,,65511.0,18073.0,12659.0,31864.0,54209.0,2832.0,13261.0,-199.0,29240.0,17090.0,2689.0,2598.0,43094.0,4864.0,17980.0,12449.0,19041.0,30696.0,3197.0,,36915.0,8644.0,113143.0,673253.0,84.0,0.07063035326972443,0.0001238559908700441,0.0,0.07581294518426758,0.0,,0.05009595538979614,,157.0,0.06329705877521916,0.0001516941922380884,54.0,0.06272472339066816,0.00018741410186997627,37.0,0.06499594385056941,0.00018997155561032214,38.0,0.0999767816914224,0.00011922915215522381,120.0,0.10945807058671496,0.00024230235699617767,4.0,0.07009380491547658,9.900254931564488e-05,32.0,0.06684679325936717,0.00016130739644821277,0.0,-0.002710470041814789,0.0,38.0,0.0713942137480253,9.278317792151031e-05,29.0,0.09603065788586455,0.00016295430536513003,1.0,0.06221224810864586,2.3135830460634384e-05,9.0,0.06865569091725905,0.00023783726645701752,59.0,0.08488133670279714,0.00011621104714032188,9.0,0.059323584295837346,0.00010976814528423851,42.0,0.06581403691149879,0.00015373690491006392,20.0,0.07821443156472843,0.00012565576602896367,39.0,0.06887135044416795,0.00014106310946497295,31.0,0.08687309498136372,8.77334488018724e-05,4.0,0.08775011665248539,0.00010979057447918096,,0.1019965087687466,,29.0,0.1073250861304531,8.431335494468754e-05,18.0,0.06815046082767647,0.00014191442560136238,167.0,0.07438881028397705,0.00010979849674680861,1021.0,0.07882223192657886,0.00011953529920703958
2021-08-06,47999.0,,,65640.0,18115.0,12706.0,31896.0,54333.0,2835.0,13272.0,-199.0,29291.0,17109.0,2692.0,2601.0,43160.0,4877.0,18008.0,12470.0,19077.0,30728.0,3200.0,,36945.0,8652.0,113311.0,674219.0,97.0,0.0707733774496577,0.0001430241799332652,,0.07581294518426758,,,0.05009595538979614,,129.0,0.06342169922616638,0.00012464045094721913,42.0,0.06287048991434481,0.00014576652367664821,47.0,0.0652372590698582,0.00024131521928878757,32.0,0.10007718518797418,0.00010040349655176742,124.0,0.10970844968894435,0.0002503791022293836,3.0,0.07016805682746331,7.425191198673365e-05,11.0,0.06690224267689625,5.5449417529073135e-05,0.0,-0.002710470041814789,0.0,51.0,0.07151873853944628,0.00012452479142097437,19.0,0.09613742105144861,0.00010676316558405071,3.0,0.06228165560002776,6.940749138190315e-05,3.0,0.06873497000607806,7.927908881900585e-05,66.0,0.0850113355012931,0.0001299987984959533,13.0,0.05948213828347014,0.00015855398763278897,28.0,0.06591652818143882,0.0001024912699400426,21.0,0.07834637011905884,0.00013193855433041182,36.0,0.06900156254521253,0.0001302121010445904,32.0,0.08696365854141726,9.05635600535457e-05,3.0,0.08783245958334476,8.234293085938573e-05,,0.1019965087687466,,30.0,0.10741230684246486,8.722071201174573e-05,8.0,0.06821353390572152,6.307307804504994e-05,168.0,0.07449926625675228,0.00011045597277523261,966.0,0.07893532800790502,0.00011309608132615107
2021-08-07,48106.0,,,65753.0,18162.0,12751.0,31941.0,54435.0,,13295.0,-199.0,29337.0,17130.0,2696.0,,43215.0,4890.0,,12490.0,19107.0,,,,36966.0,8659.0,113484.0,675091.0,107.0,0.07093114639040883,0.0001577689407511276,,0.07581294518426758,,,0.05009595538979614,,113.0,0.06353088039637596,0.00010918117020957954,47.0,0.06303360959560202,0.00016311968125720157,45.0,0.06546830555641128,0.0002310464865530945,45.0,0.10021837760500009,0.00014119241702592294,102.0,0.1099144066923911,0.00020595700344675102,,0.07016805682746331,,23.0,0.0670181823680934,0.00011593969119715293,0.0,-0.002710470041814789,0.0,46.0,0.07163105501798285,0.00011231647853656512,21.0,0.09625542244498887,0.00011800139354026657,4.0,0.0623741989218703,9.254332184253754e-05,,0.06873497000607806,,55.0,0.08511966783337306,0.00010833233207996108,13.0,0.05964069227110293,0.00015855398763278897,,0.06591652818143882,,20.0,0.0784720258850878,0.00012565576602896367,30.0,0.06911007262941636,0.00010851008420382534,,0.08696365854141726,,,0.08783245958334476,,,0.1019965087687466,,21.0,0.10747336134087308,6.1054498408222e-05,7.0,0.06826872284901093,5.5188943289418704e-05,173.0,0.07461300960966963,0.00011374335291735263,872.0,0.07903741888048929,0.00010209087258426887
2021-08-08,48200.0,,,65861.0,18218.0,12779.0,31982.0,54479.0,,13317.0,-199.0,29361.0,17141.0,2701.0,,43255.0,4898.0,,12522.0,19151.0,,,82215.0,36997.0,8671.0,113615.0,676527.0,94.0,0.07106974714209674,0.0001386007516879065,,0.07581294518426758,,,0.05009595538979614,,108.0,0.06363523054135503,0.00010435014497906717,56.0,0.06322796496050422,0.0001943553649021976,28.0,0.06561206781471099,0.00014376225829970324,41.0,0.10034701958495705,0.000128641979956952,44.0,0.11000325088995637,8.884419756526515e-05,,0.07016805682746331,,22.0,0.06712908120315154,0.00011089883505814627,0.0,-0.002710470041814789,0.0,24.0,0.07168965491982801,5.859990184516441e-05,11.0,0.09631723269874806,6.181025375918725e-05,5.0,0.06248987807417347,0.00011567915230317192,,0.06873497000607806,,40.0,0.08519845498397666,7.878715060360805e-05,8.0,0.05973826395580003,9.75716846971009e-05,,0.06591652818143882,,32.0,0.07867307511073414,0.00020104922564634185,44.0,0.0692692207529153,0.00015914812349894383,,0.08696365854141726,,,0.08783245958334476,,705.0,0.1028787016123482,0.0008821928436015992,31.0,0.10756348940995189,9.012806907880392e-05,12.0,0.06836333246607851,9.460961706757492e-05,131.0,0.07469913896939318,8.612935972354448e-05,1436.0,0.07920554100552485,0.00016812212503556205
2021-08-09,48325.0,1224.0,,66175.0,18343.0,12811.0,32024.0,54647.0,2848.0,13338.0,-199.0,29430.0,17156.0,2701.0,2621.0,43528.0,4905.0,18114.0,12535.0,19279.0,30837.0,3203.0,,37063.0,8697.0,113828.0,678415.0,125.0,0.07125405665232001,0.00018430951022327993,0.0,0.07581294518426758,0.0,,0.05009595538979614,,314.0,0.0639386189258312,0.0003033883844761768,125.0,0.06366179390001804,0.00043382893951383395,32.0,0.06577636753848208,0.00016429972377108941,42.0,0.10047879917418125,0.00013177958922419474,168.0,0.11034247418975102,0.00033922329979464873,13.0,0.07048981511273915,0.00032175828527584587,21.0,0.06723493918207069,0.00010585797891913962,0.0,-0.002710470041814789,0.0,69.0,0.07185812963763286,0.00016847471780484768,15.0,0.09640151940841968,8.428670967161898e-05,0.0,0.06248987807417347,0.0,20.0,0.06926349726487144,0.0005285272587933722,273.0,0.0857361772868463,0.000537722302869625,7.0,0.05982363917990999,8.537522410996328e-05,106.0,0.06630453084621185,0.00038800266477301846,13.0,0.07875475135865297,8.167624791882637e-05,128.0,0.06973219711218497,0.0004629763592696548,109.0,0.08727214066784965,0.00030848212643239006,3.0,0.08791480251420415,8.234293085938573e-05,,0.1028787016123482,,66.0,0.10775537497637773,0.0001918855664258406,26.0,0.06856831996972493,0.00020498750364641232,213.0,0.07483918136344749,0.00014004239405431278,1888.0,0.07942658179387244,0.00022104078834759132
2021-08-10,48521.0,1226.0,,66422.0,18407.0,12853.0,32081.0,54774.0,2866.0,13379.0,-199.0,29513.0,17184.0,2707.0,2624.0,43723.0,4923.0,18158.0,12546.0,19396.0,30889.0,3216.0,,37122.0,8712.0,114198.0,680223.0,196.0,0.07154305396435012,0.0002889973120301029,2.0,0.07593682254567978,0.00012387736141220192,,0.05009595538979614,,247.0,0.06417727157221852,0.00023865264638731103,64.0,0.06388391431704914,0.00022212041703108297,42.0,0.06599201092593163,0.00021564338744955484,57.0,0.10065764290241408,0.0001788437282328357,127.0,0.1105989108509053,0.000256436661154288,18.0,0.07093532658465955,0.00044551147192040195,41.0,0.06744161428376995,0.00020667510169927262,0.0,-0.002710470041814789,0.0,83.0,0.07206078763151405,0.0002026579938811936,28.0,0.0965588545998067,0.0001573351913870221,6.0,0.06262869305693727,0.0001388149827638063,3.0,0.06934277635369045,7.927908881900585e-05,195.0,0.08612026464603888,0.00038408735919258927,18.0,0.060043175470478466,0.00021953629056847701,44.0,0.06646558855611763,0.00016105770990578123,11.0,0.0788238620299689,6.911067131593e-05,117.0,0.07015538644057988,0.0004231893283949188,52.0,0.08741930645293666,0.00014716578508701178,13.0,0.08827162188126149,0.0003568193670573381,,0.1028787016123482,,59.0,0.10792690904333416,0.00017153406695643325,15.0,0.0686865819910594,0.00011826202133446864,370.0,0.07508244749396437,0.00024326613051688136,1808.0,0.07963825644712055,0.0002116746532481171
2021-08-11,48732.0,1230.0,,66666.0,18488.0,12914.0,32135.0,54955.0,2875.0,13425.0,-199.0,29605.0,17215.0,2711.0,2631.0,43876.0,4943.0,18231.0,12571.0,19484.0,30949.0,3219.0,,37185.0,8739.0,114456.0,682018.0,211.0,0.07185416841760701,0.0003111144532568965,4.0,0.07618457726850418,0.00024775472282440383,,0.05009595538979614,,244.0,0.06441302560346751,0.0002357540312490036,81.0,0.0641650354698541,0.0002811211528049644,61.0,0.06630520727437027,0.0003131963484386392,54.0,0.10082707380284518,0.0001694309004311075,181.0,0.11096438357270787,0.000365472721802568,9.0,0.07115808232061975,0.00022275573596020098,46.0,0.06767349366616426,0.00023187938239430586,0.0,-0.002710470041814789,0.0,92.0,0.07228542058858718,0.00022463295707313025,31.0,0.09673304713312805,0.0001741925333213459,4.0,0.06272123637877981,9.254332184253754e-05,7.0,0.06952776089426813,0.0001849845405776803,153.0,0.08642162549709768,0.0003013608510588008,20.0,0.06028710468222122,0.00024392921174275225,73.0,0.06673279793846132,0.0002672093823436825,25.0,0.0789809317375051,0.00015706970753620456,88.0,0.07047368268757777,0.00031829624699788767,60.0,0.08758911312803706,0.00016980667510039819,3.0,0.08835396481212088,8.234293085938573e-05,,0.1028787016123482,,63.0,0.10811007253855882,0.000183163495224666,27.0,0.06889945362946144,0.00021287163840204358,258.0,0.07525207630929777,0.00016962881533339293,1795.0,0.07984840910341501,0.00021015265629445256
2021-08-12,48931.0,1232.0,,66915.0,18569.0,12967.0,32200.0,55124.0,2905.0,13470.0,-199.0,29706.0,17262.0,2717.0,2636.0,44033.0,4972.0,18306.0,12609.0,19587.0,30992.0,3225.0,,37252.0,8755.0,114884.0,684032.0,199.0,0.07214758915788247,0.0002934207402754616,2.0,0.07630845462991638,0.00012387736141220192,,0.05009595538979614,,249.0,0.06465361065994703,0.00024058505647951597,81.0,0.06444615662265905,0.0002811211528049644,53.0,0.06657732869186614,0.0002721214174958668,65.0,0.10103101840521596,0.00020394460237077756,169.0,0.11130562605881082,0.0003412424861029502,30.0,0.07190060144048709,0.0007425191198673366,45.0,0.06790033219241956,0.0002268385262552992,0.0,-0.002710470041814789,0.0,101.0,0.07253202850885225,0.0002466079202650669,47.0,0.09699714549009912,0.0002640983569710728,6.0,0.06286005136154363,0.0001388149827638063,5.0,0.06965989270896647,0.00013213181469834306,157.0,0.08673086506321684,0.00030923956611916164,29.0,0.06064080203924821,0.00035369735702699075,75.0,0.06700732812580071,0.00027453018733939984,38.0,0.07921967769296014,0.00023874595545503094,103.0,0.07084623397667757,0.00037255128909980035,43.0,0.08771080791185902,0.00012169478382195204,6.0,0.08851865067383966,0.00016468586171877145,,0.1028787016123482,,67.0,0.10830486546205172,0.00019479292349289877,16.0,0.06902559978555153,0.00012614615609009988,428.0,0.07553347604946324,0.00028139974016547356,2014.0,0.08008420155454428,0.0002357924511292632
2021-08-13,49124.0,1237.0,,67159.0,18644.0,13027.0,32245.0,55260.0,2912.0,13508.0,-199.0,29789.0,17302.0,2730.0,2638.0,44250.0,4988.0,18411.0,12662.0,19701.0,31046.0,3230.0,,37319.0,8779.0,115229.0,685973.0,193.0,0.07243216304166722,0.00028457388378474416,5.0,0.07661814803344688,0.0003096934035305048,,0.05009595538979614,,244.0,0.06488936469119604,0.0002357540312490036,75.0,0.06470645398636736,0.00026029736370830034,60.0,0.06688539067393692,0.0003080619820707926,45.0,0.10117221082224188,0.00014119241702592294,136.0,0.11158023539673982,0.0002746093379290014,7.0,0.07207385590178947,0.00017325446130237853,38.0,0.06809188472570181,0.00019155253328225267,0.0,-0.002710470041814789,0.0,83.0,0.07273468650273344,0.0002026579938811936,40.0,0.09722191004922344,0.00022476455912431728,13.0,0.06316081715753187,0.000300765795988247,2.0,0.0697127454348458,5.285272587933723e-05,217.0,0.08715828535524141,0.0004274202920245737,16.0,0.060835945408642414,0.0001951433693942018,105.0,0.06739167038807588,0.0003843422622751598,53.0,0.07955266547293689,0.0003329877799767537,114.0,0.0712585722966521,0.0004123383199745363,54.0,0.08786363391944937,0.00015282600759035839,5.0,0.08865588889193862,0.0001372382180989762,,0.1028787016123482,,67.0,0.10849965838554462,0.00019479292349289877,24.0,0.06921481901968668,0.00018921923413514985,345.0,0.07576030527926952,0.00022682922980628127,1941.0,0.08031144740739526,0.00022724585285099298
