Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
2020-11-02,84.0,5.0,10.0,139.0,43.0,54.0,148.0,336.0,14.0,54.0,37.0,40.0,120.0,4.0,5.0,76.0,8.0,,54.0,46.0,369.0,8.0,361.0,261.0,12.0,204.0,2511.0,4.0,0.0001238559908700441,5.897904327144957e-06,3.0,0.0003096934035305048,0.00018581604211830288,2.0,0.00018104790527573596,3.620958105514719e-05,6.0,0.00013430250140824385,5.797230276614843e-06,2.0,0.00014923715519275888,6.941263032221343e-06,0.0,0.0002772557838637134,0.0,8.0,0.00046436617155192427,2.5100874137941854e-05,5.0,0.0006784465995892975,1.0095931541507403e-05,0.0,0.00034650892260475706,0.0,1.0,0.00027220623150635905,5.040856139006649e-06,1.0,0.0005039567414429507,1.3620452471431101e-05,1.0,9.766650307527402e-05,2.4416625768818503e-06,4.0,0.0006742936773729519,2.247645591243173e-05,0.0,9.254332184253754e-05,0.0,0.0,0.00013213181469834306,0.0,3.0,0.00014969558614685532,5.909036295270605e-06,0.0,9.75716846971009e-05,0.0,,6.954764745931463e-05,,1.0,0.00033927056827820186,6.282788301448183e-06,4.0,0.00016638212911253218,1.4468011227176713e-05,2.0,0.001044311051867449,5.660222503346606e-06,0.0,0.00021958114895836192,0.0,1.0,0.0004517327894186912,1.251337366810779e-06,8.0,0.0007588201945021878,2.3258856536465527e-05,1.0,9.460961706757492e-05,7.884134755631242e-06,9.0,0.00013412510979849676,5.917284255816033e-06,66.0,0.0002939795654347467,7.727061457066221e-06
2020-11-03,87.0,5.0,11.0,145.0,44.0,54.0,156.0,345.0,14.0,57.0,37.0,43.0,122.0,4.0,5.0,85.0,8.0,22.0,54.0,49.0,372.0,8.0,368.0,273.0,13.0,207.0,2588.0,3.0,0.0001282794191154028,4.423428245358718e-06,0.0,0.0003096934035305048,0.0,1.0,0.00019915269580330955,1.8104790527573596e-05,6.0,0.0001400997316848587,5.797230276614843e-06,1.0,0.00015270778670886954,3.4706315161106715e-06,0.0,0.0002772557838637134,0.0,8.0,0.0004894670456898661,2.5100874137941854e-05,9.0,0.0006966192763640109,1.8172676774713326e-05,0.0,0.00034650892260475706,0.0,3.0,0.000287328799923379,1.5122568417019947e-05,0.0,0.0005039567414429507,0.0,3.0,0.00010499149080591957,7.324987730645551e-06,2.0,0.0006855319053291677,1.1238227956215864e-05,0.0,9.254332184253754e-05,0.0,0.0,0.00013213181469834306,0.0,9.0,0.00016742269503266713,1.7727108885811813e-05,0.0,9.75716846971009e-05,0.0,3.0,8.052885495289061e-05,1.0981207493575993e-05,0.0,0.00033927056827820186,0.0,3.0,0.00017723313753291472,1.0851008420382535e-05,3.0,0.0010528013856224688,8.49033375501991e-06,0.0,0.00021958114895836192,0.0,7.0,0.0004604921509863667,8.759361567675453e-06,12.0,0.000793708479306886,3.488828480469829e-05,1.0,0.00010249375182320616,7.884134755631242e-06,3.0,0.00013609753788376876,1.972428085272011e-06,77.0,0.00030299447046799064,9.014905033243925e-06
2020-11-04,90.0,6.0,11.0,153.0,44.0,54.0,169.0,351.0,15.0,57.0,40.0,45.0,132.0,4.0,5.0,91.0,9.0,23.0,55.0,52.0,377.0,8.0,377.0,281.0,13.0,212.0,2674.0,3.0,0.00013270284736076153,4.423428245358718e-06,1.0,0.00037163208423660575,6.193868070610096e-05,0.0,0.00019915269580330955,0.0,8.0,0.00014782937205367848,7.72964036881979e-06,0.0,0.00015270778670886954,0.0,0.0,0.0002772557838637134,0.0,13.0,0.0005302559661640217,4.078892047415551e-05,6.0,0.0007087343942138197,1.2115117849808884e-05,1.0,0.0003712595599336683,2.475063732891122e-05,0.0,0.000287328799923379,0.0,3.0,0.0005448180988572441,4.0861357414293305e-05,2.0,0.00010987481595968327,4.8833251537637006e-06,10.0,0.000741723045110247,5.619113978107932e-05,0.0,9.254332184253754e-05,0.0,0.0,0.00013213181469834306,0.0,6.0,0.00017924076762320832,1.181807259054121e-05,1.0,0.00010976814528423851,1.2196460587137613e-05,1.0,8.418925745074928e-05,3.6604024978586646e-06,1.0,0.00034555335657965005,6.282788301448183e-06,3.0,0.00018808414595329726,1.0851008420382535e-05,5.0,0.0010669519418808353,1.4150556258366517e-05,0.0,0.00021958114895836192,0.0,9.0,0.0004717541872876637,1.126203630129701e-05,8.0,0.0008169673358433517,2.3258856536465527e-05,0.0,0.00010249375182320616,0.0,5.0,0.00013938491802588878,3.2873801421200185e-06,86.0,0.0003130630656999254,1.0068595231934773e-05
2020-11-05,92.0,7.0,11.0,155.0,44.0,54.0,176.0,360.0,15.0,59.0,42.0,47.0,135.0,5.0,6.0,98.0,10.0,25.0,58.0,54.0,381.0,9.0,382.0,295.0,13.0,218.0,2751.0,2.0,0.000135651799524334,2.9489521635724785e-06,1.0,0.0004335707649427067,6.193868070610096e-05,0.0,0.00019915269580330955,0.0,2.0,0.00014976178214588342,1.9324100922049473e-06,0.0,0.00015270778670886954,0.0,0.0,0.0002772557838637134,0.0,7.0,0.0005522192310347208,2.196326487069912e-05,9.0,0.000726907070988533,1.8172676774713326e-05,0.0,0.0003712595599336683,0.0,2.0,0.00029741051220139226,1.0081712278013298e-05,2.0,0.0005720590038001063,2.7240904942862202e-05,2.0,0.00011475814111344697,4.8833251537637006e-06,3.0,0.0007585803870445708,1.6857341934323796e-05,1.0,0.00011567915230317192,2.3135830460634384e-05,1.0,0.0001585581776380117,2.6426362939668615e-05,7.0,0.00019302851897883973,1.378775135563141e-05,1.0,0.00012196460587137613,1.2196460587137613e-05,2.0,9.151006244646661e-05,7.320804995717329e-06,3.0,0.0003644017214839946,1.8848364904344547e-05,2.0,0.0001953181515668856,7.234005613588356e-06,4.0,0.0010782723868875287,1.1320445006693213e-05,1.0,0.0002470287925781572,2.744764361979524e-05,5.0,0.00047801087412171757,6.256686834053895e-06,14.0,0.0008576703347821662,4.0702998938814674e-05,0.0,0.00010249375182320616,0.0,6.0,0.0001433297741964328,3.944856170544022e-06,77.0,0.00032207797073316934,9.014905033243925e-06
2020-11-06,98.0,7.0,11.0,163.0,44.0,56.0,183.0,372.0,15.0,61.0,43.0,47.0,138.0,6.0,6.0,,11.0,25.0,62.0,60.0,388.0,9.0,391.0,309.0,13.0,223.0,2839.0,6.0,0.00014449865601505146,8.846856490717436e-06,0.0,0.0004335707649427067,0.0,0.0,0.00019915269580330955,0.0,8.0,0.00015749142251470324,7.72964036881979e-06,0.0,0.00015270778670886954,0.0,2.0,0.0002875245165994065,1.0268732735693088e-05,7.0,0.0005741824959054199,2.196326487069912e-05,12.0,0.0007511373066881508,2.423023569961777e-05,0.0,0.0003712595599336683,0.0,2.0,0.0003074922244794056,1.0081712278013298e-05,1.0,0.0005856794562715373,1.3620452471431101e-05,0.0,0.00011475814111344697,0.0,3.0,0.0007754377289788946,1.6857341934323796e-05,1.0,0.0001388149827638063,2.3135830460634384e-05,0.0,0.0001585581776380117,0.0,,0.00019302851897883973,,1.0,0.00013416106645851373,1.2196460587137613e-05,0.0,9.151006244646661e-05,0.0,4.0,0.00038953287468978734,2.5131153205792732e-05,6.0,0.00021702016840765068,2.170201684076507e-05,7.0,0.0010980831656492416,1.9810778761713124e-05,0.0,0.0002470287925781572,0.0,9.0,0.0004892729104230146,1.126203630129701e-05,14.0,0.0008983733337209809,4.0702998938814674e-05,0.0,0.00010249375182320616,0.0,5.0,0.00014661715433855283,3.2873801421200185e-06,88.0,0.000332380719342591,1.030274860942163e-05
2020-11-07,100.0,,,168.0,44.0,56.0,201.0,379.0,,61.0,44.0,49.0,141.0,6.0,6.0,,,,66.0,61.0,391.0,,397.0,318.0,13.0,227.0,2904.0,2.0,0.00014744760817862393,2.9489521635724785e-06,,0.0004335707649427067,,,0.00019915269580330955,,5.0,0.0001623224477452156,4.831025230512369e-06,0.0,0.00015270778670886954,0.0,0.0,0.0002875245165994065,0.0,18.0,0.0006306594627157891,5.647696681036917e-05,7.0,0.0007652716108462611,1.4134304158110365e-05,,0.0003712595599336683,,0.0,0.0003074922244794056,0.0,1.0,0.0005992999087429684,1.3620452471431101e-05,2.0,0.00011964146626721068,4.8833251537637006e-06,3.0,0.0007922950709132184,1.6857341934323796e-05,0.0,0.0001388149827638063,0.0,0.0,0.0001585581776380117,0.0,,0.00019302851897883973,,,0.00013416106645851373,,,9.151006244646661e-05,,4.0,0.0004146640278955801,2.5131153205792732e-05,1.0,0.00022063717121444487,3.617002806794178e-06,3.0,0.0011065734994042617,8.49033375501991e-06,,0.0002470287925781572,,6.0,0.0004967809346238793,7.508024200864674e-06,9.0,0.0009245395473245047,2.6166213603523717e-05,0.0,0.00010249375182320616,0.0,4.0,0.00014924705845224882,2.6299041136960146e-06,65.0,0.00033999070411091376,7.609984768322795e-06
2020-11-08,102.0,,,175.0,44.0,56.0,201.0,383.0,,62.0,47.0,52.0,143.0,6.0,6.0,117.0,,,66.0,66.0,397.0,,411.0,329.0,14.0,236.0,2991.0,2.0,0.0001503965603421964,2.9489521635724785e-06,,0.0004335707649427067,,,0.00019915269580330955,,7.0,0.0001690858830679329,6.763435322717316e-06,0.0,0.00015270778670886954,0.0,0.0,0.0002875245165994065,0.0,0.0,0.0006306594627157891,0.0,4.0,0.0007733483560794671,8.076745233205922e-06,,0.0003712595599336683,,1.0,0.0003125330806184122,5.040856139006649e-06,3.0,0.0006401612661572618,4.0861357414293305e-05,3.0,0.0001269664539978562,7.324987730645551e-06,2.0,0.0008035332988694342,1.1238227956215864e-05,0.0,0.0001388149827638063,0.0,0.0,0.0001585581776380117,0.0,19.0,0.00023045241551555357,3.742389653671383e-05,,0.00013416106645851373,,,9.151006244646661e-05,,0.0,0.0004146640278955801,0.0,5.0,0.00023872218524841575,1.808501403397089e-05,6.0,0.0011235541669143013,1.698066751003982e-05,,0.0002470287925781572,,14.0,0.0005142996577592302,1.7518723135350907e-05,11.0,0.0009565204750621448,3.19809277376401e-05,1.0,0.00011037788657883741,7.884134755631242e-06,9.0,0.00015516434270806487,5.917284255816033e-06,87.0,0.000350176376031592,1.0185671920678202e-05
2020-11-09,103.0,7.0,12.0,177.0,44.0,56.0,219.0,398.0,15.0,65.0,49.0,52.0,146.0,7.0,6.0,133.0,13.0,30.0,66.0,70.0,401.0,9.0,421.0,340.0,14.0,238.0,3091.0,1.0,0.00015187103642398266,1.4744760817862393e-06,0.0,0.0004335707649427067,0.0,1.0,0.00021725748633088314,1.8104790527573596e-05,2.0,0.00017101829316013787,1.9324100922049473e-06,0.0,0.00015270778670886954,0.0,0.0,0.0002875245165994065,0.0,18.0,0.0006871364295261582,5.647696681036917e-05,15.0,0.0008036361507039893,3.028779462452221e-05,0.0,0.0003712595599336683,0.0,3.0,0.00032765564903543216,1.5122568417019947e-05,2.0,0.000667402171100124,2.7240904942862202e-05,0.0,0.0001269664539978562,0.0,3.0,0.0008203906408037581,1.6857341934323796e-05,1.0,0.0001619508132244407,2.3135830460634384e-05,0.0,0.0001585581776380117,0.0,16.0,0.00026196727575699677,3.151486024144322e-05,2.0,0.00015855398763278897,2.4392921174275225e-05,5.0,0.00010981207493575993,1.8302012489293323e-05,0.0,0.0004146640278955801,0.0,4.0,0.00025319019647559245,1.4468011227176713e-05,4.0,0.0011348746119209947,1.1320445006693213e-05,0.0,0.0002470287925781572,0.0,10.0,0.0005268130314273379,1.251337366810779e-05,11.0,0.0009885014027997848,3.19809277376401e-05,0.0,0.00011037788657883741,0.0,2.0,0.00015647929476491287,1.3149520568480073e-06,100.0,0.00036188404490593474,1.170766887434276e-05
2020-11-10,108.0,7.0,12.0,193.0,45.0,56.0,226.0,407.0,15.0,65.0,52.0,52.0,150.0,7.0,6.0,145.0,13.0,35.0,68.0,72.0,407.0,9.0,435.0,354.0,15.0,248.0,3202.0,5.0,0.00015924341683291385,7.372380408931197e-06,0.0,0.0004335707649427067,0.0,0.0,0.00021725748633088314,0.0,16.0,0.00018647757389777744,1.545928073763958e-05,1.0,0.0001561784182249802,3.4706315161106715e-06,0.0,0.0002875245165994065,0.0,7.0,0.0007090996943968573,2.196326487069912e-05,9.0,0.0008218088274787027,1.8172676774713326e-05,0.0,0.0003712595599336683,0.0,0.0,0.00032765564903543216,0.0,3.0,0.0007082635285144172,4.0861357414293305e-05,0.0,0.0001269664539978562,0.0,4.0,0.0008428670967161898,2.247645591243173e-05,0.0,0.0001619508132244407,0.0,0.0,0.0001585581776380117,0.0,12.0,0.0002856034209380792,2.363614518108242e-05,0.0,0.00015855398763278897,0.0,5.0,0.00012811408742505325,1.8302012489293323e-05,2.0,0.00042722960449847645,1.2565576602896366e-05,2.0,0.0002604242020891808,7.234005613588356e-06,6.0,0.0011518552794310345,1.698066751003982e-05,0.0,0.0002470287925781572,0.0,14.0,0.0005443317545626889,1.7518723135350907e-05,14.0,0.0010292044017385996,4.0702998938814674e-05,1.0,0.00011826202133446864,7.884134755631242e-06,10.0,0.0001630540550491529,6.574760284240037e-06,111.0,0.0003748795573564552,1.2995512450520464e-05
2020-11-11,110.0,7.0,12.0,203.0,48.0,56.0,233.0,417.0,16.0,66.0,54.0,53.0,152.0,7.0,9.0,157.0,16.0,36.0,69.0,73.0,413.0,9.0,446.0,374.0,15.0,256.0,3307.0,2.0,0.00016219236899648633,2.9489521635724785e-06,0.0,0.0004335707649427067,0.0,0.0,0.00021725748633088314,0.0,10.0,0.00019613962435880217,9.662050461024738e-06,3.0,0.00016659031277331223,1.0411894548332014e-05,0.0,0.0002875245165994065,0.0,7.0,0.0007310629592675565,2.196326487069912e-05,10.0,0.0008420006905617175,2.0191863083014807e-05,1.0,0.0003960101972625795,2.475063732891122e-05,1.0,0.00033269650517443885,5.040856139006649e-06,2.0,0.0007355044334572794,2.7240904942862202e-05,1.0,0.00012940811657473808,2.4416625768818503e-06,2.0,0.0008541053246724057,1.1238227956215864e-05,0.0,0.0001619508132244407,0.0,3.0,0.00023783726645701752,7.927908881900585e-05,12.0,0.00030923956611916164,2.363614518108242e-05,3.0,0.0001951433693942018,3.658938176141284e-05,1.0,0.00013177448992291192,3.6604024978586646e-06,1.0,0.00043351239279992463,6.282788301448183e-06,1.0,0.000264041204895975,3.617002806794178e-06,6.0,0.0011688359469410742,1.698066751003982e-05,0.0,0.0002470287925781572,0.0,11.0,0.0005580964655976075,1.376471103491857e-05,20.0,0.0010873515430797633,5.8147141341163814e-05,0.0,0.00011826202133446864,0.0,8.0,0.00016831386327654493,5.259808227392029e-06,105.0,0.0003871726096745151,1.2293052318059899e-05
2020-11-12,116.0,8.0,12.0,217.0,48.0,56.0,238.0,428.0,16.0,68.0,57.0,58.0,158.0,8.0,10.0,158.0,17.0,39.0,69.0,75.0,416.0,9.0,457.0,382.0,17.0,265.0,3402.0,6.0,0.00017103922548720375,8.846856490717436e-06,1.0,0.0004955094456488077,6.193868070610096e-05,0.0,0.00021725748633088314,0.0,14.0,0.0002096664950042368,1.3526870645434632e-05,0.0,0.00016659031277331223,0.0,0.0,0.0002875245165994065,0.0,5.0,0.0007467510056037702,1.5688046336213657e-05,11.0,0.0008642117399530338,2.2211049391316288e-05,0.0,0.0003960101972625795,0.0,2.0,0.0003427782174524521,1.0081712278013298e-05,3.0,0.0007763657908715728,4.0861357414293305e-05,5.0,0.00014161642945914732,1.2208312884409253e-05,6.0,0.0008878200085410533,3.371468386864759e-05,1.0,0.00018508664368507507,2.3135830460634384e-05,1.0,0.0002642636293966861,2.6426362939668615e-05,1.0,0.00031120924488425183,1.9696787650902013e-06,1.0,0.00020733982998133942,1.2196460587137613e-05,3.0,0.00014275569741648792,1.0981207493575993e-05,0.0,0.00043351239279992463,0.0,2.0,0.00027127521050956336,7.234005613588356e-06,3.0,0.0011773262806960942,8.49033375501991e-06,0.0,0.0002470287925781572,0.0,11.0,0.000571861176632526,1.376471103491857e-05,8.0,0.001110610399616229,2.3258856536465527e-05,2.0,0.00013403029084573114,1.5768269511262485e-05,9.0,0.00017423114753236098,5.917284255816033e-06,95.0,0.0003982948951051407,1.1122285430625622e-05
2020-11-13,121.0,8.0,12.0,233.0,49.0,56.0,253.0,434.0,16.0,72.0,58.0,59.0,161.0,8.0,10.0,,17.0,39.0,76.0,78.0,421.0,9.0,468.0,390.0,17.0,276.0,3499.0,5.0,0.00017841160589613495,7.372380408931197e-06,0.0,0.0004955094456488077,0.0,0.0,0.00021725748633088314,0.0,16.0,0.0002251257757418764,1.545928073763958e-05,1.0,0.0001700609442894229,3.4706315161106715e-06,0.0,0.0002875245165994065,0.0,15.0,0.0007938151446124111,4.706413900864098e-05,6.0,0.0008763268578028426,1.2115117849808884e-05,0.0,0.0003960101972625795,0.0,4.0,0.0003629416420084787,2.0163424556026596e-05,1.0,0.0007899862433430039,1.3620452471431101e-05,1.0,0.00014405809203602918,2.4416625768818503e-06,3.0,0.000904677350475377,1.6857341934323796e-05,0.0,0.00018508664368507507,0.0,0.0,0.0002642636293966861,0.0,,0.00031120924488425183,,0.0,0.00020733982998133942,0.0,0.0,0.00014275569741648792,0.0,7.0,0.00047749191091006187,4.397951811013728e-05,3.0,0.0002821262189299459,1.0851008420382535e-05,5.0,0.0011914768369544607,1.4150556258366517e-05,0.0,0.0002470287925781572,0.0,11.0,0.0005856258876674445,1.376471103491857e-05,8.0,0.0011338692561526943,2.3258856536465527e-05,0.0,0.00013403029084573114,0.0,11.0,0.000181463383845025,7.23223631266404e-06,97.0,0.0004096513339132532,1.1356438808112479e-05
2020-11-14,124.0,,,243.0,50.0,57.0,261.0,449.0,,72.0,62.0,61.0,165.0,8.0,10.0,,,,80.0,81.0,428.0,,480.0,397.0,18.0,283.0,3588.0,3.0,0.00018283503414149368,4.423428245358718e-06,,0.0004955094456488077,,,0.00021725748633088314,,10.0,0.00023478782620290112,9.662050461024738e-06,1.0,0.0001735315758055336,3.4706315161106715e-06,1.0,0.000292658882967253,5.134366367846544e-06,8.0,0.000818916018750353,2.5100874137941854e-05,15.0,0.0009066146524273648,3.028779462452221e-05,,0.0003960101972625795,,0.0,0.0003629416420084787,0.0,4.0,0.0008444680532287283,5.4481809885724405e-05,2.0,0.00014894141718979287,4.8833251537637006e-06,4.0,0.0009271538063878087,2.247645591243173e-05,0.0,0.00018508664368507507,0.0,0.0,0.0002642636293966861,0.0,,0.00031120924488425183,,,0.00020733982998133942,,,0.00014275569741648792,,4.0,0.0005026230641158547,2.5131153205792732e-05,3.0,0.00029297722735032843,1.0851008420382535e-05,7.0,0.0012112876157161737,1.9810778761713124e-05,,0.0002470287925781572,,12.0,0.000600641936069174,1.5016048401729347e-05,7.0,0.0011542207556221016,2.0351499469407337e-05,1.0,0.00014191442560136238,7.884134755631242e-06,7.0,0.00018606571604399305,4.602332198968026e-06,89.0,0.00042007115921141824,1.0419825298165057e-05
2020-11-15,126.0,,,248.0,50.0,57.0,269.0,455.0,,74.0,64.0,63.0,168.0,8.0,10.0,171.0,,,80.0,81.0,431.0,9.0,494.0,406.0,21.0,292.0,3669.0,2.0,0.00018578398630506615,2.9489521635724785e-06,,0.0004955094456488077,,,0.00021725748633088314,,5.0,0.0002396188514334135,4.831025230512369e-06,0.0,0.0001735315758055336,0.0,0.0,0.000292658882967253,0.0,8.0,0.0008440168928882948,2.5100874137941854e-05,6.0,0.0009187297702771737,1.2115117849808884e-05,,0.0003960101972625795,,2.0,0.000373023354286492,1.0081712278013298e-05,2.0,0.0008717089581715905,2.7240904942862202e-05,2.0,0.00015382474234355658,4.8833251537637006e-06,3.0,0.0009440111483221326,1.6857341934323796e-05,0.0,0.00018508664368507507,0.0,0.0,0.0002642636293966861,0.0,13.0,0.00033681506883042445,2.560582394617262e-05,,0.00020733982998133942,,,0.00014275569741648792,,0.0,0.0005026230641158547,0.0,0.0,0.00029297722735032843,0.0,3.0,0.0012197779494711937,8.49033375501991e-06,0.0,0.0002470287925781572,0.0,14.0,0.0006181606592045248,1.7518723135350907e-05,9.0,0.0011803869692256254,2.6166213603523717e-05,3.0,0.0001655668298682561,2.365240426689373e-05,9.0,0.00019198300029980907,5.917284255816033e-06,81.0,0.00042955437099963587,9.483211788217637e-06
2020-11-16,131.0,10.0,17.0,262.0,51.0,57.0,277.0,468.0,16.0,75.0,68.0,65.0,171.0,8.0,10.0,185.0,18.0,46.0,82.0,82.0,439.0,9.0,506.0,412.0,21.0,302.0,3788.0,5.0,0.00019315636671399735,7.372380408931197e-06,2.0,0.0006193868070610096,0.00012387736141220192,5.0,0.00030778143896875113,9.052395263786798e-05,14.0,0.00025314572207884813,1.3526870645434632e-05,1.0,0.00017700220732164425,3.4706315161106715e-06,0.0,0.000292658882967253,0.0,8.0,0.0008691177670262367,2.5100874137941854e-05,13.0,0.000944979192285093,2.624942200791925e-05,0.0,0.0003960101972625795,0.0,1.0,0.00037806421042549864,5.040856139006649e-06,4.0,0.0009261907680573148,5.4481809885724405e-05,2.0,0.00015870806749732029,4.8833251537637006e-06,3.0,0.0009608684902564563,1.6857341934323796e-05,0.0,0.00018508664368507507,0.0,0.0,0.0002642636293966861,0.0,14.0,0.00036439057154168727,2.757550271126282e-05,1.0,0.00021953629056847701,1.2196460587137613e-05,7.0,0.00016837851490149856,2.562281748501065e-05,2.0,0.000515188640718751,1.2565576602896366e-05,1.0,0.0002965942301571226,3.617002806794178e-06,8.0,0.00124241883948458,2.2640890013386425e-05,0.0,0.0002470287925781572,0.0,12.0,0.0006331767076062541,1.5016048401729347e-05,6.0,0.0011978311116279746,1.7444142402349143e-05,0.0,0.0001655668298682561,0.0,10.0,0.00019855776058404911,6.574760284240037e-06,119.0,0.00044348649696010375,1.3932125960467886e-05
2020-11-17,135.0,10.0,18.0,273.0,53.0,58.0,283.0,482.0,16.0,76.0,68.0,68.0,180.0,8.0,10.0,189.0,18.0,48.0,84.0,82.0,448.0,9.0,514.0,426.0,23.0,310.0,3889.0,4.0,0.0001990542710411423,5.897904327144957e-06,0.0,0.0006193868070610096,0.0,1.0,0.0003258862294963247,1.8104790527573596e-05,11.0,0.00026377397758597536,1.062825550712721e-05,2.0,0.00018394347035386558,6.941263032221343e-06,1.0,0.0002977932493350996,5.134366367846544e-06,6.0,0.000887943422629693,1.882565560345639e-05,14.0,0.0009732478006013137,2.826860831622073e-05,0.0,0.0003960101972625795,0.0,1.0,0.00038310506656450533,5.040856139006649e-06,0.0,0.0009261907680573148,0.0,3.0,0.00016603305522796584,7.324987730645551e-06,9.0,0.0010114405160594278,5.057202580297139e-05,0.0,0.00018508664368507507,0.0,0.0,0.0002642636293966861,0.0,4.0,0.0003722692866020481,7.878715060360805e-06,0.0,0.00021953629056847701,0.0,2.0,0.0001756993198972159,7.320804995717329e-06,2.0,0.0005277542173216473,1.2565576602896366e-05,0.0,0.0002965942301571226,0.0,9.0,0.00126788984074964,2.547100126505973e-05,0.0,0.0002470287925781572,0.0,8.0,0.0006431874065407405,1.0010698934486233e-05,14.0,0.0012385341105667894,4.0702998938814674e-05,2.0,0.00018133509937951858,1.5768269511262485e-05,8.0,0.00020381756881144114,5.259808227392029e-06,101.0,0.00045531124252318997,1.1824745563086189e-05
2020-11-18,142.0,10.0,18.0,285.0,54.0,59.0,293.0,502.0,17.0,77.0,70.0,69.0,180.0,8.0,11.0,190.0,20.0,52.0,87.0,85.0,452.0,9.0,526.0,438.0,23.0,319.0,3996.0,7.0,0.00020937560361364597,1.0321332572503675e-05,0.0,0.0006193868070610096,0.0,0.0,0.0003258862294963247,0.0,12.0,0.00027536843813920505,1.1594460553229686e-05,1.0,0.00018741410186997627,3.4706315161106715e-06,1.0,0.0003029276157029461,5.134366367846544e-06,10.0,0.0009193195153021203,3.1376092672427314e-05,20.0,0.0010136315267673434,4.0383726166029614e-05,1.0,0.00042076083459149076,2.475063732891122e-05,1.0,0.00038814592270351196,5.040856139006649e-06,2.0,0.0009534316730001771,2.7240904942862202e-05,1.0,0.00016847471780484768,2.4416625768818503e-06,0.0,0.0010114405160594278,0.0,0.0,0.00018508664368507507,0.0,1.0,0.00029068999233635475,2.6426362939668615e-05,1.0,0.00037423896536713827,1.9696787650902013e-06,2.0,0.00024392921174275225,2.4392921174275225e-05,4.0,0.00019034092988865056,1.4641609991434658e-05,3.0,0.0005466025822259919,1.8848364904344547e-05,3.0,0.00030744523857750513,1.0851008420382535e-05,4.0,0.0012792102857563331,1.1320445006693213e-05,0.0,0.0002470287925781572,0.0,12.0,0.0006582034549424698,1.5016048401729347e-05,12.0,0.0012734223953714875,3.488828480469829e-05,0.0,0.00018133509937951858,0.0,9.0,0.00020973485306725716,5.917284255816033e-06,107.0,0.00046783844821873675,1.2527205695546754e-05
2020-11-19,147.0,10.0,19.0,292.0,57.0,63.0,298.0,511.0,18.0,80.0,74.0,72.0,186.0,8.0,13.0,197.0,21.0,53.0,87.0,85.0,467.0,9.0,537.0,445.0,25.0,326.0,4100.0,5.0,0.00021674798402257717,7.372380408931197e-06,0.0,0.0006193868070610096,0.0,1.0,0.0003439910200238983,1.8104790527573596e-05,7.0,0.00028213187346192234,6.763435322717316e-06,3.0,0.00019782599641830827,1.0411894548332014e-05,4.0,0.0003234650811743323,2.0537465471386177e-05,5.0,0.0009350075616383341,1.5688046336213657e-05,9.0,0.0010318042035420566,1.8172676774713326e-05,1.0,0.00044551147192040195,2.475063732891122e-05,3.0,0.0004032684911205319,1.5122568417019947e-05,4.0,0.0010079134828859014,5.4481809885724405e-05,3.0,0.00017579970553549323,7.324987730645551e-06,6.0,0.0010451551999280753,3.371468386864759e-05,0.0,0.00018508664368507507,0.0,2.0,0.00034354271821569196,5.285272587933723e-05,7.0,0.0003880267167227697,1.378775135563141e-05,1.0,0.00025612567232988985,1.2196460587137613e-05,1.0,0.00019400133238650923,3.6604024978586646e-06,0.0,0.0005466025822259919,0.0,0.0,0.00030744523857750513,0.0,15.0,0.0013216619545314326,4.2451668775099546e-05,0.0,0.0002470287925781572,0.0,11.0,0.0006719681659773883,1.376471103491857e-05,7.0,0.001293773894840895,2.0351499469407337e-05,2.0,0.00019710336889078108,1.5768269511262485e-05,7.0,0.0002143371852662252,4.602332198968026e-06,104.0,0.0004800144238480532,1.217597562931647e-05
